Name,Associated Names,Ticker,Stock Table Name,Official Name,Sector,Exchange
,,CLXT,,CALYXT INC,Health Care,NASDAQ
,,CEI,,CAMBER ENERGY INC,Energy,Nyse Mkt Llc
,,CMBM,,CAMBIUM NETWORKS CORP,Information Technology,NASDAQ
,,CATC,,CAMBRIDGE BANCORP,Financials,NASDAQ
,,CAC,,CAMDEN NATIONAL CORP,Financials,NASDAQ
,,CPT,,CAMDEN PROPERTY TRUST REIT,Real Estate,New York Stock Exchange Inc.
,,CPB,,CAMPBELL SOUP,Consumer Staples,New York Stock Exchange Inc.
,,CWH,,CAMPING WORLD HOLDINGS INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
,,CNNE,,CANNAE HOLDINGS INC,Financials,New York Stock Exchange Inc.
,,CANO,,CANO HEALTH INC CLASS A,Health Care,New York Stock Exchange Inc.
,,GOEV,,CANOO INC CLASS A,Consumer Discretionary,NASDAQ
,,CTLP,,CANTALOUPE INC,Financials,NASDAQ
,,CPHC,,CANTERBURY PARK HOLDING CORP,Consumer Discretionary,NASDAQ
,,CCBG,,CAPITAL CITY BANK INC,Financials,NASDAQ
,,CFFN,,CAPITOL FEDERAL FINANCIAL INC,Financials,NASDAQ
,,CPRI,,CAPRI HOLDINGS LTD,Consumer Discretionary,New York Stock Exchange Inc.
,,CAPR,,CAPRICOR THERAPEUTICS INC,Health Care,NASDAQ
,,CSTR,,CAPSTAR FINANCIAL HOLDINGS INC,Financials,NASDAQ
,,CGRN,,CAPSTONE GREEN ENERGY CORP,Industrials,NASDAQ
,,CARA,,CARA THERAPEUTICS INC,Health Care,NASDAQ
,,CRDF,,CARDIFF ONCOLOGY INC,Health Care,NASDAQ
,,CAH,,CARDINAL HEALTH INC,Health Care,New York Stock Exchange Inc.
,,CDLX,,CARDLYTICS INC,Communication,NASDAQ
,,CCLD,,CARECLOUD INC,Health Care,NASDAQ
,,CDNA,,CAREDX INC,Health Care,NASDAQ
,,CMAX,,CAREMAX INC CLASS A,Health Care,NASDAQ
,,CTRE,,CARETRUST REIT INC,Real Estate,New York Stock Exchange Inc.
,,CARG,,CARGURUS INC CLASS A,Communication,NASDAQ
,,CRBU,,CARIBOU BIOSCIENCES INC,Health Care,NASDAQ
,,CARM,,CARISMA THERAPEUTICS INC,Health Care,NASDAQ
,,CSL,,CARLISLE COMPANIES INC,Industrials,New York Stock Exchange Inc.
,,CCL,,CARNIVAL CORP,Consumer Discretionary,New York Stock Exchange Inc.
,,PRTS,,CARPARTS COM INC,Consumer Discretionary,NASDAQ
,,CRS,,CARPENTER TECHNOLOGY CORP,Materials,New York Stock Exchange Inc.
,,CSV,,CARRIAGE SERVICES INC,Consumer Discretionary,New York Stock Exchange Inc.
,,CARS,,CARS.COM INC,Communication,New York Stock Exchange Inc.
,,CARE,,CARTER BANKSHARES INC,Financials,NASDAQ
,,CRI,,CARTERS INC,Consumer Discretionary,New York Stock Exchange Inc.
,,CASA,,CASA SYSTEMS INC,Information Technology,NASDAQ
,,CWST,,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,NASDAQ
,,CASY,,CASEYS GENERAL STORES INC,Consumer Staples,NASDAQ
,,CASI,,CASI PHARMACEUTICALS INC,Health Care,NASDAQ
,,CASS,,CASS INFORMATION SYSTEMS INC,Financials,NASDAQ
,,SAVA,,CASSAVA SCIENCES INC,Health Care,NASDAQ
,,CSTL,,CASTLE BIOSCIENCES INC,Health Care,NASDAQ
,,CTLT,,CATALENT INC,Health Care,New York Stock Exchange Inc.
,,CBIO,,CATALYST BIOSCIENCES INC,Health Care,NASDAQ
,,CPRX,,CATALYST PHARMACEUTICALS INC,Health Care,NASDAQ
,,CATY,,CATHAY GENERAL BANCORP,Financials,NASDAQ
,,CATO,,CATO CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
,,CVCO,,CAVCO INDUSTRIES INC,Consumer Discretionary,NASDAQ
,,CBFV,,CB FINANCIAL SERVICES INC,Financials,NASDAQ
,,YCBD,,CBDMD INC,Health Care,Nyse Mkt Llc
,,CBZ,,CBIZ INC,Industrials,New York Stock Exchange Inc.
,,CBL,,CBL ASSOCIATES PROPERTIES INC,Real Estate,New York Stock Exchange Inc.
,,CBOE,,CBOE GLOBAL MARKETS INC,Financials,Cboe BZX formerly known as BATS
,,CBRE,,CBRE GROUP INC CLASS A,Real Estate,New York Stock Exchange Inc.
,,CCCS,,CCC INTELLIGENT SOLUTIONS HOLDINGS,Information Technology,NASDAQ
,,CDW,,CDW CORP,Information Technology,NASDAQ
,,CECO,,CECO ENVIRONMENTAL CORP,Industrials,NASDAQ
,,CVM,,CEL SCI CORP,Health Care,Nyse Mkt Llc
,,CE,,CELANESE CORP,Materials,New York Stock Exchange Inc.
,,CLDX,,CELLDEX THERAPEUTICS INC,Health Care,NASDAQ
,,CLRB,,CELLECTAR BIOSCIENCES INC,Health Care,NASDAQ
,,CELH,,CELSIUS HOLDINGS INC,Consumer Staples,NASDAQ
,,CETX,,CEMTREX INC,Information Technology,NASDAQ
,,CNC,,CENTENE CORP,Health Care,New York Stock Exchange Inc.
,,CNP,,CENTERPOINT ENERGY INC,Utilities,New York Stock Exchange Inc.
,,CSR,,CENTERSPACE,Real Estate,New York Stock Exchange Inc.
,,CENT,,CENTRAL GARDEN AND PET,Consumer Staples,NASDAQ
,,CENTA,,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,NASDAQ
,,CENX,,CENTURY ALUMINUM,Materials,NASDAQ
,,CCS,,CENTURY COMMUNITIES INC,Consumer Discretionary,New York Stock Exchange Inc.
,,CRNC,,CERENCE INC,Information Technology,NASDAQ
,,CERE,,CEREVEL THERAPEUTICS HOLDINGS INC,Health Care,NASDAQ
,,CDAY,,CERIDIAN HCM HOLDING INC,Industrials,New York Stock Exchange Inc.
,,CERT,,CERTARA INC,Health Care,NASDAQ
,,CERS,,CERUS CORP,Health Care,NASDAQ
,,CEVA,,CEVA INC,Information Technology,NASDAQ
,,CFBK,,CF BANKSHARES INC,Financials,NASDAQ
,,CF,,CF INDUSTRIES HOLDINGS INC,Materials,New York Stock Exchange Inc.
,,CHRW,,CH ROBINSON WORLDWIDE INC,Industrials,NASDAQ
,,CSBR,,CHAMPIONS ONCOLOGY INC,Health Care,NASDAQ
,,CHX,,CHAMPIONX CORP,Energy,NASDAQ
,,CRGE,,CHARGE ENTERPRISES INC,Communication,NASDAQ
,,CHPT,,CHARGEPOINT HOLDINGS INC CLASS A,Industrials,New York Stock Exchange Inc.
,,CRL,,CHARLES RIVER LABORATORIES INTERNA,Health Care,New York Stock Exchange Inc.
,,SCHW,,CHARLES SCHWAB CORP,Financials,New York Stock Exchange Inc.
,,GTLS,,CHART INDUSTRIES INC,Industrials,New York Stock Exchange Inc.
,,CHTR,,CHARTER COMMUNICATIONS INC CLASS A,Communication,NASDAQ
,,CCF,,CHASE CORP,Materials,Nyse Mkt Llc
,,CLDT,,CHATHAM LODGING TRUST REIT,Real Estate,New York Stock Exchange Inc.
,,CKPT,,CHECKPOINT THERAPEUTICS INC,Health Care,NASDAQ
,,CAKE,,CHEESECAKE FACTORY INC,Consumer Discretionary,NASDAQ
,,CHEF,,CHEFS WAREHOUSE INC,Consumer Staples,NASDAQ
,,CHE,,CHEMED CORP,Health Care,New York Stock Exchange Inc.
,,CC,,CHEMOURS,Materials,New York Stock Exchange Inc.
,,LNG,,CHENIERE ENERGY INC,Energy,Nyse Mkt Llc
,,CHMI,,CHERRY HILL MORTGAGE INVESTMENT RE,Financials,New York Stock Exchange Inc.
,,CHK,,CHESAPEAKE ENERGY CORP,Energy,NASDAQ
,,CPK,,CHESAPEAKE UTILITIES CORP,Utilities,New York Stock Exchange Inc.
,,CHWY,,CHEWY INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
,,CSSE,,CHICKEN SOUP FOR THE SOUL ENTERTAI,Communication,NASDAQ
,,CHS,,CHICOS FAS INC,Consumer Discretionary,New York Stock Exchange Inc.
,,PLCE,,CHILDRENS PLACE INC,Consumer Discretionary,NASDAQ
,,CIM,,CHIMERA INVESTMENT CORP,Financials,New York Stock Exchange Inc.
,,CMRX,,CHIMERIX INC,Health Care,NASDAQ
,,KDNY,,CHINOOK THERAPEUTICS INC,Health Care,NASDAQ
,,CHRD,,CHORD ENERGY CORP,Energy,NASDAQ
,,CDXC,,CHROMADEX CORP,Health Care,NASDAQ
,,CB,,CHUBB LTD,Financials,New York Stock Exchange Inc.
,,CHD,,CHURCH AND DWIGHT INC,Consumer Staples,New York Stock Exchange Inc.
,,CHDN,,CHURCHILL DOWNS INC,Consumer Discretionary,NASDAQ
,,CHUY,,CHUYS HOLDINGS INC,Consumer Discretionary,NASDAQ
,,CDTX,,CIDARA THERAPEUTICS INC,Health Care,NASDAQ
,,CIEN,,CIENA CORP,Information Technology,New York Stock Exchange Inc.
,,CMPR,,CIMPRESS PLC,Industrials,NASDAQ
,,CINF,,CINCINNATI FINANCIAL CORP,Financials,NASDAQ
,,CIDM,,CINEDIGM CORP CLASS A,Communication,NASDAQ
,,CNK,,CINEMARK HOLDINGS INC,Communication,New York Stock Exchange Inc.
,,CTAS,,CINTAS CORP,Industrials,NASDAQ
,,CIR,,CIRCOR INTERNATIONAL INC,Industrials,New York Stock Exchange Inc.
,,CRUS,,CIRRUS LOGIC INC,Information Technology,NASDAQ
,,CSCO,,CISCO SYSTEMS INC,Information Technology,NASDAQ
,,CTXR,,CITIUS PHARMACEUTICALS INC,Health Care,NASDAQ
,,CZNC,,CITIZENS AND NORTHERN CORP,Financials,NASDAQ
,,CZWI,,CITIZENS COMMUNITY BANCORP INC,Financials,NASDAQ
,,CIZN,,CITIZENS HOLDING,Financials,NASDAQ
,,CHCO,,CITY HOLDING,Financials,NASDAQ
,,CIO,,CITY OFFICE REIT INC,Real Estate,New York Stock Exchange Inc.
,,CIVB,,CIVISTA BANCSHARES INC,Financials,NASDAQ
,,CIVI,,CIVITAS RESOURCES INC,Energy,New York Stock Exchange Inc.
,,CLVT,,CLARIVATE PLC,Industrials,New York Stock Exchange Inc.
,,CMTG,,CLAROS MORTGAGE TRUST INC,Financials,New York Stock Exchange Inc.
,,CLNE,,CLEAN ENERGY FUELS CORP,Energy,NASDAQ
,,CLH,,CLEAN HARBORS INC,Industrials,New York Stock Exchange Inc.
,,CLSK,,CLEANSPARK INC,Information Technology,NASDAQ
,,CCO,,CLEAR CHANNEL OUTDOOR HOLDINGS INC,Communication,New York Stock Exchange Inc.
,,YOU,,CLEAR SECURE INC CLASS A,Information Technology,New York Stock Exchange Inc.
,,CLFD,,CLEARFIELD INC,Information Technology,NASDAQ
,,CLRO,,CLEARONE INC,Information Technology,NASDAQ
,,CLPT,,CLEARPOINT NEURO INC,Health Care,NASDAQ
,,CLSD,,CLEARSIDE BIOMEDICAL INC,Health Care,NASDAQ
,,CLIR,,CLEARSIGN TECHNOLOGIES CORP,Information Technology,NASDAQ
,,CWAN,,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology,New York Stock Exchange Inc.
,,CLW,,CLEARWATER PAPER CORP,Materials,New York Stock Exchange Inc.
,,CWENA,,CLEARWAY ENERGY INC CLASS A,Utilities,New York Stock Exchange Inc.
,,CWEN,,CLEARWAY ENERGY INC CLASS C,Utilities,New York Stock Exchange Inc.
,,CLF,,CLEVELAND CLIFFS INC,Materials,New York Stock Exchange Inc.
,,CLPR,,CLIPPER REALTY INC,Real Estate,New York Stock Exchange Inc.
,,NET,,CLOUDFLARE INC CLASS A,Information Technology,New York Stock Exchange Inc.
,,CLOV,,CLOVER HEALTH INVESTMENTS CORP CLA,Health Care,NASDAQ
,,CMS,,CMS ENERGY CORP,Utilities,New York Stock Exchange Inc.
,,CNA,,CNA FINANCIAL CORP,Financials,New York Stock Exchange Inc.
,,CCNE,,CNB FINANCIAL CORP,Financials,NASDAQ
,,CNO,,CNO FINANCIAL GROUP INC,Financials,New York Stock Exchange Inc.
,,CNX,,CNX RESOURCES CORP,Energy,New York Stock Exchange Inc.
,,CODX,,CO DIAGNOSTICS INC,Health Care,NASDAQ
,,CCB,,COASTAL FINANCIAL CORP,Financials,NASDAQ
,,COKE,,COCA COLA CONSOLIDATED INC,Consumer Staples,NASDAQ
,,CODA,,CODA OCTOPUS GROUP INC,Information Technology,NASDAQ
,,CDXS,,CODEXIS INC,Health Care,NASDAQ
,,CVLY,,CODORUS VALLEY BANCORP INC,Financials,NASDAQ
,,CDE,,COEUR MINING INC,Materials,New York Stock Exchange Inc.
,,COGT,,COGENT BIOSCIENCES INC,Health Care,NASDAQ
,,CCOI,,COGENT COMMUNICATIONS HOLDINGS INC,Communication,NASDAQ
,,CGNX,,COGNEX CORP,Information Technology,NASDAQ
,,CTSH,,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,NASDAQ
,,CWBR,,COHBAR INC,Health Care,NASDAQ
,,CNS,,COHEN & STEERS INC,Financials,New York Stock Exchange Inc.
,,COHR,,COHERENT CORP,Information Technology,New York Stock Exchange Inc.
,,CHRS,,COHERUS BIOSCIENCES INC,Health Care,NASDAQ
,,COHU,,COHU INC,Information Technology,NASDAQ
,,CL,,COLGATE-PALMOLIVE,Consumer Staples,New York Stock Exchange Inc.
,,COLL,,COLLEGIUM PHARMACEUTICAL INC,Health Care,NASDAQ
,,CBAN,,COLONY BANKCORP INC,Financials,NASDAQ
,,COLB,,COLUMBIA BANKING SYSTEM INC,Financials,NASDAQ
,,CLBK,,COLUMBIA FINANCIAL INC,Financials,NASDAQ
,,COLM,,COLUMBIA SPORTSWEAR,Consumer Discretionary,NASDAQ
,,CMCO,,COLUMBUS MCKINNON CORP,Industrials,NASDAQ
,,FIX,,COMFORT SYSTEMS USA INC,Industrials,New York Stock Exchange Inc.
,,CBSH,,COMMERCE BANCSHARES INC,Financials,NASDAQ
,,CMC,,COMMERCIAL METALS,Materials,New York Stock Exchange Inc.
,,COMM,,COMMSCOPE HOLDING INC,Information Technology,NASDAQ
,,CBU,,COMMUNITY BANK SYSTEM INC,Financials,New York Stock Exchange Inc.
,,CYH,,COMMUNITY HEALTH SYSTEMS INC,Health Care,New York Stock Exchange Inc.
,,CHCT,,COMMUNITY HEALTHCARE TRUST INC,Real Estate,New York Stock Exchange Inc.
,,CTBI,,COMMUNITY TRUST BANCORP INC,Financials,NASDAQ
,,CWBC,,COMMUNITY WEST BANCSHARES,Financials,NASDAQ
,,CVLT,,COMMVAULT SYSTEMS INC,Information Technology,NASDAQ
,,COMP,,COMPASS INC CLASS A,Real Estate,New York Stock Exchange Inc.
,,CMP,,COMPASS MINERALS INTERNATIONAL INC,Materials,New York Stock Exchange Inc.
,,CMPX,,COMPASS THERAPEUTICS,Health Care,NASDAQ
,,CPSI,,COMPUTER PROGRAMS AND SYSTEMS INC,Health Care,NASDAQ
,,CIX,,COMPX INTERNATIONAL INC,Industrials,Nyse Mkt Llc
,,SCOR,,COMSCORE INC,Communication,NASDAQ
,,CHCI,,COMSTOCK HOLDING COMPANIES INC CLA,Real Estate,NASDAQ
,,CRK,,COMSTOCK RESOURCES INC,Energy,New York Stock Exchange Inc.
,,CMTL,,COMTECH TELECOMMUNICATIONS CORP,Information Technology,NASDAQ
,,CAG,,CONAGRA BRANDS INC,Consumer Staples,New York Stock Exchange Inc.
,,CNXC,,CONCENTRIX CORP,Industrials,NASDAQ
,,CNDT,,CONDUENT INC,Industrials,NASDAQ
,,CFLT,,CONFLUENT INC CLASS A,Information Technology,NASDAQ
,,CFMS,,CONFORMIS INC,Health Care,NASDAQ
,,CNFR,,CONIFER HOLDINGS INC,Financials,NASDAQ
,,CNMD,,CONMED CORP,Health Care,New York Stock Exchange Inc.
,,CNOB,,CONNECTONE BANCORP INC,Financials,NASDAQ
,,CONN,,CONNS INC,Consumer Discretionary,NASDAQ
,,COP,,CONOCOPHILLIPS,Energy,New York Stock Exchange Inc.
,,CCSI,,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,NASDAQ
,,CEIX,,CONSOL ENERGY INC,Energy,New York Stock Exchange Inc.
,,CNSL,,CONSOLIDATED COMMUNICATIONS HOLDIN,Communication,NASDAQ
,,ED,,CONSOLIDATED EDISON INC,Utilities,New York Stock Exchange Inc.
,,STZ,,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,New York Stock Exchange Inc.
,,CEG,,CONSTELLATION ENERGY CORP,Utilities,NASDAQ
,,ROAD,,CONSTRUCTION PARTNERS INC CLASS A,Industrials,NASDAQ
,,WISH,,CONTEXTLOGIC INC CLASS A,Consumer Discretionary,NASDAQ
,,CFRX,,CONTRAFECT CORP,Health Care,NASDAQ
,,COO,,COOPER INC,Health Care,New York Stock Exchange Inc.
,,CPS,,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,New York Stock Exchange Inc.
,,CPRT,,COPART INC,Industrials,NASDAQ
,,CRBP,,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,NASDAQ
,,CORT,,CORCEPT THERAPEUTICS INC,Health Care,NASDAQ
,,CNM,,CORE & MAIN INC CLASS A,Industrials,New York Stock Exchange Inc.
,,CLB,,CORE LABORATORIES NV,Energy,New York Stock Exchange Inc.
,,CCRD,,CORECARD CORP,Information Technology,New York Stock Exchange Inc.
,,CXW,,CORECIVIC REIT INC,Industrials,New York Stock Exchange Inc.
,,CRMD,,CORMEDIX INC,Health Care,NASDAQ
,,GLW,,CORNING INC,Information Technology,New York Stock Exchange Inc.
,,OFC,,CORPORATE OFFICE PROPERTIES TRUST,Real Estate,New York Stock Exchange Inc.
,,CRSR,,CORSAIR GAMING INC,Information Technology,NASDAQ
,,CTVA,,CORTEVA INC,Materials,New York Stock Exchange Inc.
,,CRVL,,CORVEL CORP,Health Care,NASDAQ
,,CRVS,,CORVUS PHARMACEUTICALS INC,Health Care,NASDAQ
,,CTRA,,COTERRA ENERGY INC,Energy,New York Stock Exchange Inc.
,,BASE,,COUCHBASE INC,Information Technology,NASDAQ
,,COUR,,COURSERA INC,Consumer Discretionary,New York Stock Exchange Inc.
,,CUZ,,COUSINS PROPERTIES REIT INC,Real Estate,New York Stock Exchange Inc.
,,CVLG,,COVENANT LOGISTICS GROUP INC CLASS,Industrials,NASDAQ
,,CRAI,,CRA INTERNATIONAL INC,Industrials,NASDAQ
,,CBRL,,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,NASDAQ
,,CXT,,CRANE NXT,Industrials,New York Stock Exchange Inc.
,,CR WI,,CRANE WHEN ISSUED,Industrials,New York Stock Exchange Inc.
,,CACC,,CREDIT ACCEPTANCE CORP,Financials,NASDAQ
,,CRDO,,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,NASDAQ
,,CRGY,,CRESCENT ENERGY CLASS A,Energy,New York Stock Exchange Inc.
,,CRCT,,CRICUT INC CLASS A,Consumer Discretionary,NASDAQ
,,CRNX,,CRINETICS PHARMACEUTICALS INC,Health Care,NASDAQ
,,CRSP,,CRISPR THERAPEUTICS AG,Health Care,NASDAQ
,,CROX,,CROCS INC,Consumer Discretionary,NASDAQ
,,CCRN,,CROSS COUNTRY HEALTHCARE INC,Health Care,NASDAQ
,,CFB,,CROSSFIRST BANKSHARES INC,Financials,NASDAQ
,,CCI,,CROWN CASTLE INC,Real Estate,New York Stock Exchange Inc.
,,CCK,,CROWN HOLDINGS INC,Materials,New York Stock Exchange Inc.
,,CYRX,,CRYOPORT INC,Health Care,NASDAQ
,,CSGS,,CSG SYSTEMS INTERNATIONAL INC,Industrials,NASDAQ
,,CSPI,,CSP INC,Information Technology,NASDAQ
,,CSWI,,CSW INDUSTRIALS INC,Industrials,NASDAQ
,,CTIC,,CTI BIOPHARMA CORP,Health Care,NASDAQ
,,CTO,,CTO REALTY GROWTH INC,Real Estate,New York Stock Exchange Inc.
,,CTS,,CTS CORP,Information Technology,New York Stock Exchange Inc.
,,CUBE,,CUBESMART REIT,Real Estate,New York Stock Exchange Inc.
,,CUE,,CUE BIOPHARMA INC,Health Care,NASDAQ
,,CFR,,CULLEN FROST BANKERS INC,Financials,New York Stock Exchange Inc.
,,CGEM,,CULLINAN ONCOLOGY INC,Health Care,NASDAQ
,,CULP,,CULP INC,Consumer Discretionary,New York Stock Exchange Inc.
,,CPIX,,CUMBERLAND PHARMACEUTICALS INC,Health Care,NASDAQ
,,CMLS,,CUMULUS MEDIA INC CLASS A,Communication,NASDAQ
,,CURI,,CURIOSITYSTREAM INC CLASS A,Communication,NASDAQ
,,CRIS,,CURIS INC,Health Care,NASDAQ
,,CW,,CURTISS WRIGHT CORP,Industrials,New York Stock Exchange Inc.
,,CWK,,CUSHMAN AND WAKEFIELD PLC,Real Estate,New York Stock Exchange Inc.
,,CTOS,,CUSTOM TRUCK ONE SOURCE INC,Industrials,New York Stock Exchange Inc.
,,CUBI,,CUSTOMERS BANCORP INC,Financials,New York Stock Exchange Inc.
,,CUTR,,CUTERA INC,Health Care,NASDAQ
,,CVBF,,CVB FINANCIAL CORP,Financials,NASDAQ
,,CVT,,CVENT HOLDING CORP,Information Technology,NASDAQ
,,CVI,,CVR ENERGY INC,Energy,New York Stock Exchange Inc.
,,CYCC,,CYCLACEL PHARMACEUTICALS INC,Health Care,NASDAQ
,,CYCN,,CYCLERION THERAPEUTICS INC,Health Care,NASDAQ
,,CBAY,,CYMABAY THERAPEUTICS INC,Health Care,NASDAQ
,,CTKB,,CYTEK BIOSCIENCES INC,Health Care,NASDAQ
,,CYTK,,CYTOKINETICS INC,Health Care,NASDAQ
,,CTMX,,CYTOMX THERAPEUTICS INC,Health Care,NASDAQ
,,CTSO,,CYTOSORBENTS CORP,Health Care,NASDAQ
,,DHI,,D R HORTON INC,Consumer Discretionary,New York Stock Exchange Inc.
,,DJCO,,DAILY JOURNAL CORP,Communication,NASDAQ
,,DALN,,DALLASNEWS CORP SERIES A,Communication,NASDAQ
,,DAN,,DANA INCORPORATED INC,Consumer Discretionary,New York Stock Exchange Inc.
,,DHR,,DANAHER CORP,Health Care,New York Stock Exchange Inc.
,,DNMR,,DANIMER SCIENTIFIC INC CLASS A,Materials,New York Stock Exchange Inc.
,,DARE,,DARE BIOSCIENCE INC,Health Care,NASDAQ
,,DAR,,DARLING INGREDIENTS INC,Consumer Staples,New York Stock Exchange Inc.
,,DSKE,,DASEKE INC,Industrials,NASDAQ
,,DAIO,,DATA I O CORP,Information Technology,NASDAQ
,,DDOG,,DATADOG INC CLASS A,Information Technology,NASDAQ
,,PLAY,,DAVE AND BUSTERS ENTERTAINMENT INC,Consumer Discretionary,NASDAQ
,,DVA,,DAVITA INC,Health Care,New York Stock Exchange Inc.
,,DAWN,,DAY ONE BIOPHARMACEUTICALS INC,Health Care,NASDAQ
,,DCPH,,DECIPHERA PHARMACEUTICALS INC,Health Care,NASDAQ
,,DECK,,DECKERS OUTDOOR CORP,Consumer Discretionary,New York Stock Exchange Inc.
,,DE,,DEERE,Industrials,New York Stock Exchange Inc.
,,DH,,DEFINITIVE HEALTHCARE CORP CLASS A,Health Care,NASDAQ
,,DK,,DELEK US HOLDINGS INC,Energy,New York Stock Exchange Inc.
,,DELL,,DELL TECHNOLOGIES INC CLASS C,Information Technology,New York Stock Exchange Inc.
,,DLX,,DELUXE CORP,Industrials,New York Stock Exchange Inc.
,,DNLI,,DENALI THERAPEUTICS INC,Health Care,NASDAQ
,,DEN,,DENBURY INC,Energy,New York Stock Exchange Inc.
,,XRAY,,DENTSPLY SIRONA INC,Health Care,NASDAQ
,,DMTK,,DERMTECH INC,Health Care,NASDAQ
,,DBI,,DESIGNER BRANDS INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
,,DM,,DESKTOP METAL INC CLASS A,Industrials,New York Stock Exchange Inc.
,,DXLG,,DESTINATION XL GROUP INC,Consumer Discretionary,NASDAQ
,,DXCM,,DEXCOM INC,Health Care,NASDAQ
,,DHX,,DHI GROUP INC,Communication,New York Stock Exchange Inc.
,,DMAC,,DIAMEDICA THERAPEUTICS INC,Health Care,NASDAQ
,,DHIL,,DIAMOND HILL INVESTMENT GROUP INC,Financials,NASDAQ
,,DO,,DIAMOND OFFSHORE DRILLING INC,Energy,New York Stock Exchange Inc.
,,FANG,,DIAMONDBACK ENERGY INC,Energy,NASDAQ
,,DRH,,DIAMONDROCK HOSPITALITY REIT,Real Estate,New York Stock Exchange Inc.
,,DICE,,DICE THERAPEUTICS INC,Health Care,NASDAQ
,,DGII,,DIGI INTERNATIONAL INC,Information Technology,NASDAQ
,,DMRC,,DIGIMARC CORP,Information Technology,NASDAQ
,,DGLY,,DIGITAL ALLY INC,Information Technology,NASDAQ
,,DLR,,DIGITAL REALTY TRUST REIT INC,Real Estate,New York Stock Exchange Inc.
,,APPS,,DIGITAL TURBINE INC,Information Technology,NASDAQ
,,DBRG,,DIGITALBRIDGE GROUP INC CLASS A,Real Estate,New York Stock Exchange Inc.
,,DOCN,,DIGITALOCEAN HOLDINGS INC,Information Technology,New York Stock Exchange Inc.
,,DDS,,DILLARDS INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
,,DCOM,,DIME COMMUNITY BANCSHARES INC,Financials,NASDAQ
,,DIOD,,DIODES INC,Information Technology,NASDAQ
,,IRON,,DISC MEDICINE INC,Health Care,NASDAQ
,,DFS,,DISCOVER FINANCIAL SERVICES,Financials,New York Stock Exchange Inc.
,,DSGR,,DISTRIBUTION SOLUTIONS GROUP INC,Industrials,NASDAQ
,,DSEY,,DIVERSEY HOLDINGS LTD,Materials,NASDAQ
,,DHC,,DIVERSIFIED HEALTHCARE TRUST,Real Estate,NASDAQ
,,BOOM,,DMC GLOBAL INC,Energy,NASDAQ
,,DCGO,,DOCGO INC,Health Care,NASDAQ
,,DOCU,,DOCUSIGN INC,Information Technology,NASDAQ
,,DLB,,DOLBY LABORATORIES INC CLASS A,Information Technology,New York Stock Exchange Inc.
,,DG,,DOLLAR GENERAL CORP,Consumer Staples,New York Stock Exchange Inc.
,,DOMA,,DOMA HOLDINGS INC,Real Estate,New York Stock Exchange Inc.
,,DOMH,,DOMINARI HOLDINGS INC,Health Care,NASDAQ
,,D,,DOMINION ENERGY INC,Utilities,New York Stock Exchange Inc.
,,DOMO,,DOMO INC CLASS B,Information Technology,NASDAQ
,,DCI,,DONALDSON INC,Industrials,New York Stock Exchange Inc.
,,DGICA,,DONEGAL GROUP INC CLASS A,Financials,NASDAQ
,,DFIN,,DONNELLEY FINANCIAL SOLUTIONS INC,Financials,New York Stock Exchange Inc.
,,DASH,,DOORDASH INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
,,LPG,,DORIAN LPG LTD,Energy,New York Stock Exchange Inc.
,,DORM,,DORMAN PRODUCTS INC,Consumer Discretionary,NASDAQ
,,DV,,DOUBLEVERIFY HOLDINGS INC,Information Technology,New York Stock Exchange Inc.
,,PLOW,,DOUGLAS DYNAMICS INC,Industrials,New York Stock Exchange Inc.
,,DOUG,,DOUGLAS ELLIMAN INC,Real Estate,New York Stock Exchange Inc.
,,DEI,,DOUGLAS EMMETT REIT INC,Real Estate,New York Stock Exchange Inc.
,,DOV,,DOVER CORP,Industrials,New York Stock Exchange Inc.
,,DOW,,DOW INC,Materials,New York Stock Exchange Inc.
,,DOCS,,DOXIMITY INC CLASS A,Health Care,New York Stock Exchange Inc.
,,DRQ,,DRIL QUIP INC,Energy,New York Stock Exchange Inc.
,,DRVN,,DRIVEN BRANDS HOLDINGS INC,Industrials,NASDAQ
,,DBX,,DROPBOX INC CLASS A,Information Technology,NASDAQ
,,DSS,,DSS INC,Industrials,Nyse Mkt Llc
,,DTM,,DT MIDSTREAM INC,Energy,New York Stock Exchange Inc.
,,DTE,,DTE ENERGY,Utilities,New York Stock Exchange Inc.
,,NAPA,,DUCKHORN PORTFOLIO INC,Consumer Staples,New York Stock Exchange Inc.
