Name,Associated Names,Ticker,Stock Table Name,Official Name,Sector,Exchange
Occidental,,OXY,,OCCIDENTAL PETROLEUM CORP,Energy,New York Stock Exchange Inc.
Oneok,,OKE,,ONEOK INC,Energy,New York Stock Exchange Inc.
Oracle,,ORCL,,ORACLE CORP,Information Technology,New York Stock Exchange Inc.
Paccar,,PCAR,Paccar,PACCAR INC,Industrials,NASDAQ
PacWest,,PACW,,PACWEST BANCORP,Financials,NASDAQ
Palo Alto Networks,,PANW,PaloAltoNtwks,PALO ALTO NETWORKS INC,Information Technology,NASDAQ
Paramount,,PARA,ParamountB,PARAMOUNT GLOBAL CLASS B,Communication,NASDAQ
PayPal,,PYPL,PayPal,PAYPAL HOLDINGS INC,Financials,NASDAQ
PDC,,PDCE,,PDC ENERGY INC,Energy,NASDAQ
Peloton,,PTON,,PELOTON INTERACTIVE CLASS A INC,Consumer Discretionary,NASDAQ
Pepsi,PepsiCo,PEP,,PEPSICO INC,Consumer Staples,NASDAQ
Perrigo,,PRGO,,PERRIGO PLC,Health Care,New York Stock Exchange Inc.
Pfizer,,PFE,Pfizer,PFIZER INC,Health Care,New York Stock Exchange Inc.
PNC,,PNC,PNC Fin,PNC FINANCIAL SERVICES GROUP INC,Financials,New York Stock Exchange Inc.
PPG,,PPG,PPG Ind,PPG INDUSTRIES INC,Materials,New York Stock Exchange Inc.
Procter & Gamble,,PG,Procter&Gamble,PROCTER & GAMBLE,Consumer Staples,New York Stock Exchange Inc.
Progressive,,PGR,Progressive,PROGRESSIVE CORP,Financials,New York Stock Exchange Inc.
Prologis,,PLD,,PROLOGIS REIT INC,Real Estate,New York Stock Exchange Inc.
Qualcomm,,QCOM,Qualcomm,QUALCOMM INC,Information Technology,NASDAQ
Ralph Lauren,,RL,,RALPH LAUREN CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
Raytheon,,RTX,RaytheonTech,RAYTHEON TECHNOLOGIES CORP,Industrials,New York Stock Exchange Inc.
RealReal,,REAL,,THE REALREAL INC,Consumer Discretionary,NASDAQ
Regeneron,,REGN,,REGENERON PHARMACEUTICALS INC,Health Care,NASDAQ
Regions,,RF,RegionsFin,REGIONS FINANCIAL CORP,Financials,New York Stock Exchange Inc.
Republic,,RSG,,REPUBLIC SERVICES INC,Industrials,New York Stock Exchange Inc.
RH,,RH,,RH,Consumer Discretionary,New York Stock Exchange Inc.
Rivian,,RIVN,Rivian,RIVIAN AUTOMOTIVE INC CLASS A,Consumer Discretionary,NASDAQ
Robinhood,,HOOD,Robinhood,ROBINHOOD MARKETS INC CLASS A,Financials,NASDAQ
Rockwell,,ROK,Rockwell,ROCKWELL AUTOMATION INC,Industrials,New York Stock Exchange Inc.
Ruth's,,RUTH,,RUTHS HOSPITALITY GROUP INC,Consumer Discretionary,NASDAQ
S&P Global,,SPGI,S&P Global,S&P GLOBAL INC,Financials,New York Stock Exchange Inc.
Salesforce,,CRM,Salesforce,SALESFORCE INC,Information Technology,New York Stock Exchange Inc.
Seagen,,SGEN,Seagen,SEAGEN INC,Health Care,NASDAQ
Shake Shack,,SHAK,,SHAKE SHACK INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
Shutterstock,,SSTK,,SHUTTERSTOCK INC,Communication,New York Stock Exchange Inc.
Six Flags,,SIX,,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary,New York Stock Exchange Inc.
SL Green,,SLG,,SL GREEN REALTY REIT CORP,Real Estate,New York Stock Exchange Inc.
SM Energy,,SM,,SM ENERGY,Energy,New York Stock Exchange Inc.
Snap,Snapchat,SNAP,Snap,SNAP INC CLASS A,Communication,New York Stock Exchange Inc.
SoFi,,SOFI,,SOFI TECHNOLOGIES INC,Financials,NASDAQ
Southwest,,LUV,SouthwestAir,SOUTHWEST AIRLINES,Industrials,New York Stock Exchange Inc.
Starbucks,,SBUX,Starbucks,STARBUCKS CORP,Consumer Discretionary,NASDAQ
State Street,,STT,,STATE STREET CORP,Financials,New York Stock Exchange Inc.
Supermicro,Super Micro,SMCI,,SUPER MICRO COMPUTER INC,Information Technology,NASDAQ
T Rowe Price,T. Rowe Price,TROW,T.RowePrice,T ROWE PRICE GROUP INC,Financials,NASDAQ
Tapestry,,TPR,Tapestry,TAPESTRY INC,Consumer Discretionary,New York Stock Exchange Inc.
Target,,TGT,,TARGET CORP,Consumer Staples,New York Stock Exchange Inc.
Tesla,,TSLA,Tesla,TESLA INC,Consumer Discretionary,NASDAQ
ThredUp,,TDUP,,THREDUP INC CLASS A,Consumer Discretionary,NASDAQ
T-Mobile,,TMUS,T-MobileUS,T MOBILE US INC,Communication,NASDAQ
TPG,,TPG,TPG,TPG INC CLASS A,Financials,NASDAQ
Tyson,,TSN,TysonFoods,TYSON FOODS INC CLASS A,Consumer Staples,New York Stock Exchange Inc.
Uber,,UBER,Uber,UBER TECHNOLOGIES INC,Industrials,New York Stock Exchange Inc.
Union Pacific,,UNP,UnionPacific,UNION PACIFIC CORP,Industrials,New York Stock Exchange Inc.
United Airlines,,UAL,UnitedAirlines,UNITED AIRLINES HOLDINGS INC,Industrials,NASDAQ
Unity,,U,UnitySoftware,UNITY SOFTWARE INC,Information Technology,New York Stock Exchange Inc.
Urban Outfitters,,URBN,UrbanOutfitters,URBAN OUTFITTERS INC,Consumer Discretionary,NASDAQ
US Bancorp,U.S. Bancorp,USB,US Bancorp,US BANCORP,Financials,New York Stock Exchange Inc.
Valley National,,VLY,,VALLEY NATIONAL,Financials,NASDAQ
Verizon,,VZ,Verizon,VERIZON COMMUNICATIONS INC,Communication,New York Stock Exchange Inc.
